date,OT,mem_util_percent,mem_gps,net_in,net_out,disk_io_percent
1970-01-07 09:42:00,69.0,94.0,16.335,69.63,48.36,9.0
1970-01-07 09:43:00,71.5,94.5,15.455,69.63,48.365,4.0
1970-01-07 09:44:00,70.0,95.0,15.005,69.63,48.37,4.0
1970-01-07 09:45:00,71.0,93.0,16.84,69.64,48.37,6.0
1970-01-07 09:46:00,69.75,93.0,16.838,69.64,48.372,7.0
1970-01-07 09:47:00,69.125,92.75,17.542,69.64,48.376000000000005,8.0
1970-01-07 09:48:00,68.5,92.5,18.245,69.64,48.38,9.0
1970-01-07 09:49:00,67.0,91.0,15.785,69.65,48.38,8.0
1970-01-07 09:50:00,67.0,90.0,18.295,69.65,48.385,6.0
1970-01-07 09:51:00,71.0,91.0,16.94,69.65,48.39,6.0
1970-01-07 09:52:00,70.0,90.0,16.29,69.66,48.39,6.0
1970-01-07 09:53:00,69.5,90.0,17.165,69.66,48.39,5.0
1970-01-07 09:54:00,68.6,90.8,17.914,69.66,48.4,5.0
1970-01-07 09:55:00,67.0,90.0,16.61,69.66,48.4,8.0
1970-01-07 09:56:00,61.333,90.333,19.35,69.67,48.4,5.0
1970-01-07 09:57:00,60.333,89.0,18.873,69.67,48.4,6.0
1970-01-07 09:58:00,61.667,89.667,18.447,69.673,48.41,5.0
1970-01-07 09:59:00,65.0,90.0,16.77,69.68,48.41,6.0
1970-01-07 10:00:00,70.667,92.0,18.393,69.68,48.41,4.0
1970-01-07 10:01:00,68.084,92.0,18.299,69.682,48.415,6.0
1970-01-07 10:02:00,65.5,92.0,18.205,69.685,48.42,8.0
1970-01-07 10:03:00,62.5,91.0,17.025,69.69,48.42,6.0
1970-01-07 10:04:00,63.5,92.0,17.245,69.69,48.42,4.0
1970-01-07 10:05:00,60.5,91.0,18.34,69.69,48.425,8.0
1970-01-07 10:06:00,69.0,92.0,15.92,69.7,48.43,5.0
1970-01-07 10:07:00,69.0,92.0,16.29,69.7,48.43,7.0
1970-01-07 10:08:00,70.0,93.0,17.323,69.7,48.43,5.0
1970-01-07 10:09:00,66.667,94.0,18.407,69.7,48.43,7.0
1970-01-07 10:10:00,65.0,94.333,18.593,69.71,48.44,8.0
1970-01-07 10:11:00,67.0,93.0,15.81,69.71,48.44,5.0
1970-01-07 10:12:00,69.0,91.333,18.043,69.71,48.44,7.0
1970-01-07 10:13:00,63.5,92.0,18.26,69.715,48.44,5.0
1970-01-07 10:14:00,65.0,91.5,18.38,69.72,48.45,7.0
1970-01-07 10:15:00,66.0,91.667,17.517,69.72,48.45,6.0
1970-01-07 10:16:00,74.0,93.5,16.695,69.725,48.45,5.0
